# S,I,R,Nw
3015266,1,0,0
3015265,1,0,0
3015264,2,0,1
3015263,3,1,2
3015262,3,1,4
3015260,4,2,5
3015258,6,3,7
3015255,7,4,10
3015252,9,5,14
3015248,12,7,18
3015242,15,10,23
3015236,19,12,30
3015227,23,16,38
3015217,29,20,49
3015203,37,26,62
3015187,47,33,79
3015166,59,42,100
3015140,74,53,126
3015107,93,67,159
3015066,116,84,200
3015014,146,106,251
3014949,184,134,316
3014868,230,168,397
3014766,289,211,499
3014638,363,266,627
3014478,455,333,788
3014277,571,419,989
3014025,716,526,1241
3013708,899,660,1557
3013311,1127,828,1954
3012814,1414,1039,2451
3012190,1773,1303,3075
3011409,2223,1635,3857
3010429,2787,2051,4837
3009201,3494,2572,6065
3007662,4379,3225,7603
3005735,5487,4044,9530
3003323,6873,5070,11942
3000304,8607,6355,14961
2996530,10774,7963,18736
2991813,13478,9976,23453
2985924,16849,12493,29341
2978583,21046,15638,36683
2969443,26259,19565,45823
2958085,32720,24461,57180
2944006,40704,30556,71259
2926603,50532,38131,88662
2905168,62575,47523,110098
2878882,77248,59136,136383
2846822,95001,73444,168444
2807972,116295,91000,207294
2761264,141572,112431,254002
2705636,171198,138433,309630
2640118,205397,169751,375147
2563952,244162,207153,451314
2476724,287167,251375,538541
2378511,333685,303071,636755
2269992,382540,362734,745274
2152517,432124,430626,862749
2028077,480481,506708,987188
1899188,525479,590600,1116077
1768671,565031,681565,1246595
1639393,597334,778540,1375872
1514004,621064,880199,1501261
1394723,635500,985044,1620542
1283211,640546,1091509,1732055
1180533,636671,1198063,1834732
1087202,624778,1303287,1928064
1003264,606060,1405943,2012001
928417,581848,1505002,2086849
862117,553488,1599662,2153149
803680,522248,1689338,2211586
752358,489261,1773648,2262908
707393,455491,1852382,2307872
668057,421730,1925479,2347208
633671,388601,1992995,2381595
603617,356575,2055075,2411649
577343,325990,2111933,2437923
554361,297074,2163831,2460904
534243,269965,2211059,2481022
516617,244726,2253924,2498649
501157,221370,2292739,2514108
487585,199865,2327817,2527680
475657,180149,2359460,2539608
465164,162141,2387961,2550102
455923,145746,2413597,2559342
447779,130860,2436627,2567487
440593,117378,2457295,2574672
434249,105192,2475826,2581016
428644,94197,2492426,2586622
423687,84294,2507286,2591579
419301,75386,2520579,2595964
415419,67383,2532465,2599847
411980,60201,2543086,2603286
408932,53762,2552573,2606334
406229,47993,2561044,2609036
403833,42829,2568605,2611433
401706,38210,2575351,2613560
399818,34080,2581368,2615447
398142,30389,2586735,2617123
396654,27092,2591520,2618611
395332,24149,2595786,2619933
394157,21522,2599588,2621108
393114,19177,2602975,2622152
392186,17086,2605994,2623080
391361,15222,2608684,2623904
390628,13559,2611080,2624638
389976,12077,2613214,2625289
389396,10756,2615114,2625869
388881,9579,2616807,2626385
388422,8530,2618315,2626843
388014,7595,2619657,2627251
387651,6763,2620852,2627614
387329,6021,2621916,2627937
387041,5361,2622864,2628224
386786,4773,2623708,2628480
386559,4249,2624459,2628707
386356,3783,2625127,2628909
386176,3367,2625723,2629089
386016,2998,2626253,2629249
385874,2668,2626724,2629392
385747,2375,2627144,2629518
385634,2114,2627518,2629631
385534,1882,2627851,2629732
385444,1675,2628147,2629821
385365,1491,2628411,2629901
385294,1327,2628645,2629971
385231,1181,2628854,2630034
385175,1051,2629040,2630090
385125,936,2629206,2630140
385081,833,2629353,2630185
385041,741,2629484,2630224
385006,660,2629601,2630259
384975,587,2629705,2630291
384947,523,2629797,2630319
384922,465,2629879,2630343
384900,414,2629953,2630365
384880,368,2630018,2630385
384863,328,2630076,2630403
384847,292,2630128,2630418
384833,260,2630173,2630432
384821,231,2630214,2630444
384810,206,2630251,2630455
384800,183,2630283,2630465
384792,163,2630312,2630474
384784,145,2630338,2630481
384777,129,2630361,2630488
384771,115,2630381,2630494
384765,102,2630399,2630500
384761,91,2630415,2630505
384756,81,2630430,2630509
384752,72,2630442,2630513
384749,64,2630454,2630516
384746,57,2630464,2630519
