# S,I,R,Nw
9139902,45,36779101,36779144
9139899,41,36779108,36779146
9139896,37,36779114,36779149
9139894,33,36779120,36779151
9139892,30,36779126,36779154
9139890,27,36779130,36779156
9139888,24,36779135,36779157
9139887,22,36779139,36779159
9139885,20,36779142,36779160
9139884,18,36779146,36779162
9139883,16,36779149,36779163
9139882,15,36779151,36779164
9139881,13,36779154,36779165
9139880,12,36779156,36779166
9139879,11,36779158,36779166
9139878,10,36779159,36779167
