# S,I,R,Nw
21168785,5,0,0
21168783,6,0,1
21168782,6,2,3
21168779,7,3,5
21168777,9,4,8
21168774,10,6,11
21168771,11,8,14
21168767,13,10,18
21168763,15,12,22
21168758,17,15,27
21168752,19,18,33
21168746,22,22,39
21168738,25,26,46
21168730,29,30,55
21168721,33,36,64
21168710,38,42,75
21168697,44,49,87
21168683,50,56,101
21168667,57,65,118
21168649,65,76,136
21168628,75,87,157
21168604,85,101,181
21168576,97,116,208
21168545,111,133,240
21168509,127,153,275
21168469,145,176,316
21168422,165,202,363
21168369,189,232,416
21168309,216,265,476
21168240,246,304,545
21168161,281,348,624
21168071,321,398,714
21167968,366,455,817
21167851,418,521,934
21167717,477,595,1068
21167565,545,680,1220
21167390,622,778,1394
