# S,I,R,Nw
6498827,9,0,0
6498824,11,1,2
6498820,12,3,6
6498817,13,5,9
6498813,15,8,13
6498809,16,10,17
6498804,18,13,22
6498799,20,17,27
6498793,22,20,33
6498786,25,24,40
6498779,28,29,47
6498771,31,34,55
6498762,34,39,64
6498753,38,45,73
6498742,42,52,84
6498730,47,59,96
6498716,52,68,110
6498701,57,77,125
6498685,64,87,141
6498667,71,98,159
6498646,78,111,180
6498624,87,125,202
6498599,96,140,227
6498571,107,157,255
6498541,119,176,285
6498507,132,197,319
6498469,146,220,357
6498428,162,246,398
6498381,180,274,445
6498330,199,306,496
6498273,221,341,553
6498211,245,380,615
6498141,272,423,685
6498063,301,471,763
6497978,334,524,848
6497882,370,583,944
6497777,411,648,1049
6497660,455,720,1166
6497531,505,800,1295
6497387,560,889,1439
6497228,621,987,1598
6497051,688,1096,1775
6496855,763,1217,1971
6496638,846,1351,2188
6496398,938,1500,2428
6496131,1040,1665,2695
6495836,1152,1847,2990
6495508,1278,2050,3318
6495145,1416,2274,3681
6494743,1570,2523,4083
6494297,1740,2798,4529
6493802,1929,3104,5024
6493254,2139,3443,5572
6492647,2370,3818,6179
6491974,2627,4235,6852
6491227,2912,4696,7599
6490401,3228,5207,8425
6489485,3577,5774,9341
6488469,3964,6402,10357
6487345,4393,7098,11481
6486098,4868,7869,12728
6484718,5394,8723,14108
6483188,5977,9670,15638
6481494,6622,10719,17332
6479618,7336,11882,19208
