# S,I,R,Nw
217026004,0,0,0
217026003,1,0,0
217026002,1,0,1
217026002,2,0,1
217026001,2,1,2
217025999,3,1,4
217025998,4,2,5
217025996,5,3,7
217025993,7,4,10
217025990,9,5,13
217025985,11,7,18
217025980,15,9,23
217025973,19,12,31
217025963,24,16,40
217025952,31,21,52
217025937,40,27,66
217025917,52,35,86
217025893,66,44,110
217025861,85,57,142
217025820,109,74,183
217025768,140,95,235
217025701,180,122,302
217025617,230,156,386
217025509,294,200,494
217025370,377,257,633
217025193,482,328,810
217024967,617,420,1036
217024677,789,538,1326
217024308,1008,687,1695
217023836,1289,879,2168
217023232,1648,1124,2771
217022466,2103,1434,3537
217021488,2685,1831,4515
217020237,3428,2339,5766
217018639,4378,2987,7364
217016599,5590,3814,9404
217013996,7137,4870,12007
217010673,9112,6218,15330
217006430,11634,7939,19573
