# S,I,R,Nw
17264933,9,0,0
17264930,11,1,2
17264926,12,3,6
17264923,13,5,9
17264919,15,8,13
17264914,17,11,18
17264909,19,14,23
17264903,21,17,29
17264897,24,21,35
17264890,26,25,42
17264882,30,30,50
17264873,33,35,59
17264863,37,41,69
17264853,41,48,79
17264840,46,55,92
17264827,52,63,105
17264811,58,73,121
17264794,64,83,138
17264775,72,94,157
17264754,80,107,178
17264731,90,121,201
17264704,100,137,228
17264675,112,155,257
17264642,125,175,290
17264605,139,197,327
17264564,156,221,368
17264519,174,249,413
17264468,194,280,464
17264411,217,314,521
17264347,242,352,585
17264277,270,395,655
17264198,301,443,734
17264109,336,496,823
17264011,375,555,921
17263901,419,622,1031
17263778,468,695,1154
17263641,522,778,1291
17263489,583,870,1443
17263318,651,973,1614
17263128,726,1088,1804
17262915,810,1216,2017
17262678,904,1359,2254
17262414,1009,1518,2518
17262119,1127,1696,2813
17261790,1257,1895,3142
17261422,1403,2116,3510
17261012,1566,2364,3920
17260554,1748,2640,4378
17260044,1950,2948,4888
17259474,2177,3291,5458
17258838,2429,3675,6094
17258128,2711,4103,6804
17257337,3025,4580,7595
17256453,3375,5113,8479
17255467,3766,5708,9465
17254367,4203,6371,10565
17253140,4690,7112,11792
17251771,5233,7938,13161
17250243,5839,8860,14689
17248539,6515,9888,16393
17246637,7268,11036,18295
17244516,8109,12316,20416
17242150,9047,13744,22782
17239511,10093,15338,25421
17236567,11259,17115,28365
17233284,12559,19098,31648
