"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"AL","2706000","Olivença","11731","0","0","11731","-37.191","-9.519"
"AL","2706109","Ouro Branco","11589","0","0","11589","-37.357","-9.167"
"AL","2706208","Palestina","5036","0","0","5036","-37.329","-9.672"
"AL","2706307","Palmeira dos Índios","74048","1","0","74049","-36.628","-9.407"
"AL","2706406","Pão de Açúcar","24834","0","0","24834","-37.437","-9.748"
"AL","2706422","Pariconha","10674","0","0","10674","-38.006","-9.254"
"AL","2706448","Paripueira","13076","0","0","13076","-35.552","-9.465"
"AL","2706505","Passo de Camaragibe","15441","0","0","15441","-35.493","-9.238"
"AL","2706604","Paulo Jacinto","7680","0","0","7680","-36.37","-9.366"
"AL","2706703","Penedo","64292","0","0","64292","-36.586","-10.29"
"AL","2706802","Piaçabuçu","18043","0","0","18043","-36.434","-10.406"
"AL","2706901","Pilar","35428","0","0","35428","-35.957","-9.597"
"AL","2707008","Pindoba","2954","0","0","2954","-36.29","-9.475"
"AL","2707107","Piranhas","25130","0","0","25130","-37.757","-9.624"
"AL","2707206","Poço das Trincheiras","14535","0","0","14535","-37.286","-9.313"
"AL","2707305","Porto Calvo","27398","0","0","27398","-35.398","-9.045"
"AL","2707404","Porto de Pedras","8055","0","0","8055","-35.295","-9.158"
"AL","2707503","Porto Real do Colégio","20267","1","0","20268","-36.84","-10.186"
"AL","2707602","Quebrangulo","11542","0","0","11542","-36.471","-9.319"
"AL","2707701","Rio Largo","75688","0","0","75688","-35.853","-9.478"
"AL","2707800","Roteiro","6788","0","0","6788","-35.978","-9.833"
"AL","2707909","Santa Luzia do Norte","7357","0","0","7357","-35.822","-9.603"
"AL","2708006","Santana do Ipanema","48033","0","0","48033","-37.245","-9.378"
"AL","2708105","Santana do Mundaú","10952","0","0","10952","-36.222","-9.168"
"AL","2708204","São Brás","7046","0","0","7046","-36.901","-10.128"
"AL","2708303","São José da Laje","24140","0","0","24140","-36.058","-9.01"
"AL","2708402","São José da Tapera","32455","0","0","32455","-37.381","-9.558"
"AL","2708501","São Luís do Quitunde","34798","0","0","34798","-35.561","-9.318"
"AL","2708600","São Miguel dos Campos","61204","0","0","61204","-36.094","-9.781"
"AL","2708709","São Miguel dos Milagres","7951","0","0","7951","-35.373","-9.266"
"AL","2708808","São Sebastião","34387","0","0","34387","-36.554","-9.934"
"AL","2708907","Satuba","13824","0","0","13824","-35.824","-9.563"
"AL","2708956","Senador Rui Palmeira","13974","0","0","13974","-37.507","-9.354"
"AL","2709004","Tanque d'Arca","6293","0","0","6293","-36.433","-9.532"
"AL","2709103","Taquarana","20097","0","0","20097","-36.497","-9.645"
"AL","2709152","Teotônio Vilela","44426","0","0","44426","-36.353","-9.905"
"AL","2709202","Traipu","27938","0","0","27938","-37.003","-9.971"
"AL","2709301","União dos Palmares","66255","0","0","66255","-36.032","-9.163"
"AL","2709400","Viçosa","26176","0","0","26176","-36.241","-9.371"
"AM","1300029","Alvarães","15729","0","0","15729","-64.804","-3.221"
"AM","1300060","Amaturá","11047","0","0","11047","-68.198","-3.364"
"AM","1300086","Anamã","12653","0","0","12653","-61.404","-3.58"
"AM","1300102","Anori","19746","3","0","19749","-61.644","-3.773"
"AM","1300144","Apuí","21031","0","0","21031","-59.891","-7.197"
"AM","1300201","Atalaia do Norte","18599","0","0","18599","-70.192","-4.372"
"AM","1300300","Autazes","37752","0","0","37752","-59.131","-3.58"
"AM","1300409","Barcelos","27589","0","0","27589","-62.924","-0.975"
"AM","1300508","Barreirinha","31105","0","0","31105","-57.07","-2.793"
"AM","1300607","Benjamin Constant","40417","0","0","40417","-70.031","-4.383"
"AM","1300631","Beruri","18579","0","0","18579","-61.373","-3.898"
"AM","1300680","Boa Vista do Ramos","18080","0","0","18080","-57.59","-2.97"
"AM","1300706","Boca do Acre","33839","1","0","33840","-67.398","-8.752"
"AM","1300805","Borba","39885","0","0","39885","-59.594","-4.388"
