"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"CE","2312502","São João do Jaguaribe","7670","0","0","7670","-38.274","-5.271"
"CE","2312601","São Luís do Curu","12804","1","0","12805","-39.243","-3.67"
"CE","2312700","Senador Pompeu","26494","2","0","26496","-39.372","-5.588"
"CE","2312809","Senador Sá","7441","1","0","7442","-40.463","-3.351"
"CE","2312908","Sobral","203665","17","0","203682","-40.239","-3.674"
"CE","2313005","Solonópole","18127","0","0","18127","-39.008","-5.733"
"CE","2313104","Tabuleiro do Norte","30377","1","0","30378","-38.131","-5.247"
"CE","2313203","Tamboril","25560","0","0","25560","-40.321","-4.832"
"CE","2313252","Tarrafas","8875","0","0","8875","-39.761","-6.684"
"CE","2313302","Tauá","57914","0","0","57914","-40.293","-6.003"
"CE","2313351","Tejuçuoca","18709","0","0","18709","-39.581","-3.989"
"CE","2313401","Tianguá","74104","3","0","74107","-40.992","-3.732"
"CE","2313500","Trairi","54819","1","0","54820","-39.269","-3.278"
"CE","2313559","Tururu","15768","0","0","15768","-39.437","-3.581"
"CE","2313609","Ubajara","34068","0","0","34068","-40.921","-3.854"
"CE","2313708","Umari","7668","0","0","7668","-38.7","-6.648"
"CE","2313757","Umirim","19602","0","0","19602","-39.35","-3.677"
"CE","2313807","Uruburetama","21411","0","0","21411","-39.508","-3.625"
"CE","2313906","Uruoca","13600","0","0","13600","-40.557","-3.314"
"CE","2313955","Varjota","18188","0","0","18188","-40.477","-4.194"
"CE","2314003","Várzea Alegre","40254","1","0","40255","-39.296","-6.789"
"CE","2314102","Viçosa do Ceará","59487","0","0","59487","-41.092","-3.562"
"DF","5300108","Brasília","2976565","651","0","2977216","-47.93","-15.78"
"ES","3200102","Afonso Cláudio","32406","1","0","32407","-41.124","-20.074"
"ES","3200136","Águia Branca","10075","0","0","10075","-40.74","-18.983"
"ES","3200169","Água Doce do Norte","11958","0","0","11958","-40.979","-18.547"
"ES","3200201","Alegre","32175","0","0","32175","-41.533","-20.764"
"ES","3200300","Alfredo Chaves","15028","1","0","15029","-40.75","-20.635"
"ES","3200359","Alto Rio Novo","7979","0","0","7979","-41.017","-19.056"
"ES","3200409","Anchieta","28091","0","0","28091","-40.645","-20.805"
"ES","3200508","Apiacá","7928","0","0","7928","-41.568","-21.154"
"ES","3200607","Aracruz","96739","7","0","96746","-40.273","-19.82"
"ES","3200706","Atilio Vivacqua","11335","0","0","11335","-41.198","-20.914"
"ES","3200805","Baixo Guandu","31633","0","0","31633","-41.016","-19.519"
"ES","3200904","Barra de São Francisco","44946","0","0","44946","-40.891","-18.755"
"ES","3201001","Boa Esperança","15389","1","0","15390","-40.296","-18.54"
"ES","3201100","Bom Jesus do Norte","10215","0","0","10215","-41.672","-21.114"
"ES","3201159","Brejetuba","12797","0","0","12797","-41.29","-20.146"
"ES","3201209","Cachoeiro de Itapemirim","210319","6","0","210325","-41.113","-20.849"
"ES","3201308","Cariacica","384584","37","0","384621","-40.42","-20.264"
"ES","3201407","Castelo","38068","2","0","38070","-41.185","-20.604"
"ES","3201506","Colatina","123592","6","0","123598","-40.631","-19.539"
"ES","3201605","Conceição da Barra","31353","0","0","31353","-39.732","-18.593"
"ES","3201704","Conceição do Castelo","12856","0","0","12856","-41.244","-20.368"
"ES","3201803","Divino de São Lourenço","4630","0","0","4630","-41.686","-20.62"
"ES","3201902","Domingos Martins","34589","0","0","34589","-40.659","-20.363"
"ES","3202009","Dores do Rio Preto","6920","0","0","6920","-41.845","-20.689"
"ES","3202108","Ecoporanga","24243","0","0","24243","-40.831","-18.373"
"ES","3202207","Fundão","20374","2","0","20376","-40.407","-19.933"
"ES","3202256","Governador Lindenberg","12444","0","0","12444","-40.461","-19.252"
"ES","3202306","Guaçuí","30946","0","0","30946","-41.679","-20.776"
"ES","3202405","Guarapari","121502","4","0","121506","-40.511","-20.658"
"ES","3202454","Ibatiba","25567","0","0","25567","-41.511","-20.234"
"ES","3202504","Ibiraçu","12469","2","0","12471","-40.37","-19.832"
"ES","3202553","Ibitirama","9379","0","0","9379","-41.667","-20.541"
"ES","3202603","Iconha","13904","0","0","13904","-40.811","-20.793"
"ES","3202652","Irupi","13240","0","0","13240","-41.641","-20.345"
"ES","3202702","Itaguaçu","14822","0","0","14822","-40.856","-19.802"
"ES","3202801","Itapemirim","34584","1","0","34585","-40.834","-21.011"
"ES","3202900","Itarana","11259","0","0","11259","-40.875","-19.874"
"ES","3203007","Iúna","29743","0","0","29743","-41.536","-20.346"
"ES","3203056","Jaguaré","29150","0","0","29150","-40.076","-18.906"
"ES","3203106","Jerônimo Monteiro","11957","0","0","11957","-41.395","-20.789"
"ES","3203130","João Neiva","17096","0","0","17096","-40.386","-19.758"
"ES","3203163","Laranja da Terra","11447","0","0","11447","-41.057","-19.899"
"ES","3203205","Linhares","166482","9","0","166491","-40.072","-19.391"
"ES","3203304","Mantenópolis","15272","0","0","15272","-41.123","-18.863"
"ES","3203320","Marataízes","38301","0","0","38301","-40.824","-21.043"
"ES","3203346","Marechal Floriano","16339","0","0","16339","-40.683","-20.413"
"ES","3203353","Marilândia","12479","0","0","12479","-40.542","-19.413"
"ES","3203403","Mimoso do Sul","27369","0","0","27369","-41.366","-21.064"
"ES","3203502","Montanha","19309","0","0","19309","-40.363","-18.127"
"ES","3203601","Mucurici","5873","0","0","5873","-40.516","-18.093"
"ES","3203700","Muniz Freire","18826","0","0","18826","-41.413","-20.464"
"ES","3203809","Muqui","15717","0","0","15717","-41.346","-20.952"
"ES","3203908","Nova Venécia","50645","2","0","50647","-40.401","-18.711"
"ES","3204005","Pancas","23559","0","0","23559","-40.851","-19.225"
"ES","3204054","Pedro Canário","26336","0","0","26336","-40.151","-18.03"
"ES","3204104","Pinheiros","26863","0","0","26863","-40.215","-18.412"
"ES","3204203","Piúma","21030","0","0","21030","-40.729","-20.835"
"ES","3204252","Ponto Belo","7826","0","0","7826","-40.541","-18.124"
"ES","3204302","Presidente Kennedy","11396","0","0","11396","-41.047","-21.099"
"ES","3204351","Rio Bananal","19321","0","0","19321","-40.333","-19.265"
"ES","3204401","Rio Novo do Sul","12070","0","0","12070","-40.936","-20.863"
"ES","3204500","Santa Leopoldina","12886","1","0","12887","-40.53","-20.101"
"ES","3204559","Santa Maria de Jetibá","39396","0","0","39396","-40.746","-20.041"
"ES","3204609","Santa Teresa","23878","4","0","23882","-40.6","-19.936"
"ES","3204658","São Domingos do Norte","8764","0","0","8764","-40.624","-19.144"
"ES","3204708","São Gabriel da Palha","36856","2","0","36858","-40.536","-19.017"
"ES","3204807","São José do Calçado","11023","1","0","11024","-41.654","-21.025"
"ES","3204906","São Mateus","126432","5","0","126437","-39.859","-18.716"
"ES","3204955","São Roque do Canaã","12482","1","0","12483","-40.657","-19.739"
"ES","3205002","Serra","494000","109","0","494109","-40.308","-20.129"
"ES","3205010","Sooretama","28507","2","0","28509","-40.098","-19.197"
"ES","3205036","Vargem Alta","21396","0","0","21396","-41.007","-20.671"
"ES","3205069","Venda Nova do Imigrante","24164","1","0","24165","-41.135","-20.34"
"ES","3205101","Viana","75648","4","0","75652","-40.496","-20.39"
"ES","3205150","Vila Pavão","9414","0","0","9414","-40.611","-18.615"
"ES","3205176","Vila Valério","14677","0","0","14677","-40.389","-18.998"
"ES","3205200","Vila Velha","479531","133","0","479664","-40.292","-20.33"
"ES","3205309","Vitória","359436","119","0","359555","-40.338","-20.319"
"GO","5200050","Abadia de Goiás","8053","0","0","8053","-49.438","-16.757"
"GO","5200100","Abadiânia","18427","0","0","18427","-48.707","-16.204"
"GO","5200134","Acreúna","21905","0","0","21905","-50.377","-17.396"
"GO","5200159","Adelândia","2561","0","0","2561","-50.166","-16.415"
"GO","5200175","Água Fria de Goiás","5560","0","0","5560","-47.784","-14.986"
"GO","5200209","Água Limpa","1980","0","0","1980","-48.762","-18.074"
"GO","5200258","Águas Lindas de Goiás","191497","2","0","191499","-48.282","-15.762"
"GO","5200308","Alexânia","26457","0","0","26457","-48.507","-16.082"
"GO","5200506","Aloândia","2074","1","0","2075","-49.48","-17.728"
"GO","5200555","Alto Horizonte","5629","0","0","5629","-49.339","-14.196"
"GO","5200605","Alto Paraíso de Goiás","7454","0","0","7454","-47.51","-14.133"
"GO","5200803","Alvorada do Norte","8598","0","0","8598","-46.492","-14.481"
"GO","5200829","Amaralina","3723","0","0","3723","-49.297","-13.926"
"GO","5200852","Americano do Brasil","5969","0","0","5969","-49.983","-16.255"
"GO","5200902","Amorinópolis","3447","0","0","3447","-51.094","-16.619"
"GO","5201108","Anápolis","370857","18","0","370875","-48.953","-16.327"
"GO","5201207","Anhanguera","1114","1","0","1115","-48.219","-18.337"
"GO","5201306","Anicuns","21614","0","0","21614","-49.962","-16.461"
"GO","5201405","Aparecida de Goiânia","532130","5","0","532135","-49.245","-16.822"
"GO","5201454","Aparecida do Rio Doce","2514","0","0","2514","-51.145","-18.299"
"GO","5201504","Aporé","4110","0","0","4110","-51.926","-18.965"
"GO","5201603","Araçu","3753","0","0","3753","-49.681","-16.358"
"GO","5201702","Aragarças","19736","0","0","19736","-52.251","-15.898"
"GO","5201801","Aragoiânia","9607","0","0","9607","-49.451","-16.912"
"GO","5202155","Araguapaz","7841","0","0","7841","-50.632","-15.091"
"GO","5202353","Arenópolis","3011","0","0","3011","-51.56","-16.386"
"GO","5202502","Aruanã","8945","0","0","8945","-51.083","-14.92"
"GO","5202601","Aurilândia","3465","0","0","3465","-50.465","-16.682"
"GO","5202809","Avelinópolis","2496","0","0","2496","-49.758","-16.466"
"GO","5203104","Baliza","4562","0","0","4562","-52.545","-16.196"
"GO","5203203","Barro Alto","10235","0","0","10235","-48.916","-14.971"
"GO","5203302","Bela Vista de Goiás","28076","1","0","28077","-48.953","-16.973"
"GO","5203401","Bom Jardim de Goiás","8862","0","0","8862","-52.172","-16.21"
"GO","5203500","Bom Jesus de Goiás","23631","1","0","23632","-49.742","-18.215"
"GO","5203559","Bonfinópolis","8876","0","0","8876","-48.963","-16.618"
"GO","5203575","Bonópolis","4069","0","0","4069","-49.81","-13.636"
"GO","5203609","Brazabrantes","3565","0","0","3565","-49.389","-16.431"
"GO","5203807","Britânia","5795","0","0","5795","-51.161","-15.241"
"GO","5203906","Buriti Alegre","9501","0","0","9501","-49.044","-18.144"
"GO","5203939","Buriti de Goiás","2589","0","0","2589","-50.431","-16.181"
"GO","5203962","Buritinópolis","3391","0","0","3391","-46.408","-14.479"
"GO","5204003","Cabeceiras","7882","0","0","7882","-46.927","-15.801"
"GO","5204102","Cachoeira Alta","11844","0","0","11844","-50.942","-18.763"
"GO","5204201","Cachoeira de Goiás","1419","0","0","1419","-50.647","-16.668"
"GO","5204250","Cachoeira Dourada","8369","0","0","8369","-49.475","-18.492"
"GO","5204300","Caçu","15065","0","0","15065","-51.131","-18.557"
"GO","5204409","Caiapônia","18329","0","0","18329","-51.81","-16.957"
"GO","5204508","Caldas Novas","83219","1","0","83220","-48.626","-17.744"
"GO","5204557","Caldazinha","3664","0","0","3664","-49.002","-16.714"
"GO","5204607","Campestre de Goiás","3601","1","0","3602","-49.694","-16.762"
"GO","5204656","Campinaçu","3741","0","0","3741","-48.571","-13.79"
"GO","5204706","Campinorte","12198","0","0","12198","-49.152","-14.314"
"GO","5204805","Campo Alegre de Goiás","7024","0","0","7024","-47.782","-17.639"
"GO","5204854","Campo Limpo de Goiás","7219","0","0","7219","-49.088","-16.297"
"GO","5204904","Campos Belos","19665","0","0","19665","-46.772","-13.037"
"GO","5204953","Campos Verdes","3631","0","0","3631","-49.658","-14.258"
"GO","5205000","Carmo do Rio Verde","9767","0","0","9767","-49.708","-15.354"
"GO","5205059","Castelândia","3626","0","0","3626","-50.201","-18.091"
"GO","5205109","Catalão","100589","1","0","100590","-47.942","-18.17"
"GO","5205208","Caturaí","5010","0","0","5010","-49.494","-16.447"
"GO","5205307","Cavalcante","9803","0","0","9803","-47.458","-13.798"
"GO","5205406","Ceres","22034","0","0","22034","-49.598","-15.308"
"GO","5205455","Cezarina","8299","0","0","8299","-49.776","-16.972"
"GO","5205471","Chapadão do Céu","8853","0","0","8853","-52.549","-18.408"
"GO","5205497","Cidade Ocidental","65518","2","0","65520","-47.925","-16.077"
"GO","5205513","Cocalzinho de Goiás","19352","0","0","19352","-48.776","-15.794"
"GO","5205521","Colinas do Sul","3540","0","0","3540","-48.078","-14.151"
"GO","5205703","Córrego do Ouro","2539","0","0","2539","-50.548","-16.294"
"GO","5205802","Corumbá de Goiás","11024","0","0","11024","-48.809","-15.924"
"GO","5205901","Corumbaíba","9206","0","0","9206","-48.562","-18.142"
"GO","5206206","Cristalina","54337","0","0","54337","-47.614","-16.769"
"GO","5206305","Cristianópolis","3026","0","0","3026","-48.704","-17.199"
"GO","5206404","Crixás","16795","0","0","16795","-49.969","-14.549"
"GO","5206503","Cromínia","3611","0","0","3611","-49.381","-17.288"
"GO","5206602","Cumari","2983","0","0","2983","-48.151","-18.263"
"GO","5206701","Damianópolis","3387","0","0","3387","-46.177","-14.564"
"GO","5206800","Damolândia","2919","0","0","2919","-49.37","-16.253"
"GO","5206909","Davinópolis","2130","0","0","2130","-47.562","-18.153"
"GO","5207105","Diorama","2546","0","0","2546","-51.256","-16.234"
"GO","5207253","Doverlândia","7795","0","0","7795","-52.319","-16.72"
"GO","5207352","Edealina","3811","0","0","3811","-49.665","-17.426"
"GO","5207402","Edéia","12140","0","0","12140","-49.931","-17.339"
"GO","5207501","Estrela do Norte","3382","0","0","3382","-49.073","-13.868"
"GO","5207535","Faina","6975","0","0","6975","-50.361","-15.446"
"GO","5207600","Fazenda Nova","6125","0","0","6125","-50.78","-16.183"
"GO","5207808","Firminópolis","12783","0","0","12783","-50.305","-16.582"
"GO","5207907","Flores de Goiás","14747","0","0","14747","-47.05","-14.449"
"GO","5208004","Formosa","114035","1","0","114036","-47.334","-15.537"
"GO","5208103","Formoso","4674","0","0","4674","-48.882","-13.654"
"GO","5208152","Gameleira de Goiás","3721","0","0","3721","-48.6701","-16.4635"
"GO","5208301","Divinópolis de Goiás","5007","0","0","5007","-46.393","-13.295"
"GO","5208400","Goianápolis","11460","0","0","11460","-49.024","-16.511"
"GO","5208509","Goiandira","5577","1","0","5578","-48.085","-18.133"
"GO","5208608","Goianésia","66639","10","0","66649","-49.117","-15.317"
"GO","5208707","Goiânia","1448509","130","0","1448639","-49.254","-16.679"
"GO","5208806","Goianira","40338","0","0","40338","-49.426","-16.496"
"GO","5208905","Goiás","24269","0","0","24269","-50.14","-15.934"
"GO","5209101","Goiatuba","34178","1","0","34179","-49.357","-18.013"
"GO","5209150","Gouvelândia","5578","0","0","5578","-50.066","-18.642"
"GO","5209200","Guapó","14461","1","0","14462","-49.532","-16.831"
"GO","5209291","Guaraíta","2237","0","0","2237","-50.024","-15.614"
"GO","5209408","Guarani de Goiás","4174","0","0","4174","-46.48","-13.936"
"GO","5209457","Guarinos","2093","0","0","2093","-49.702","-14.732"
"GO","5209606","Heitoraí","3744","0","0","3744","-49.829","-15.719"
"GO","5209705","Hidrolândia","20121","0","0","20121","-49.229","-16.962"
"GO","5209804","Hidrolina","3889","0","0","3889","-49.465","-14.724"
"GO","5209903","Iaciara","13551","0","0","13551","-46.632","-14.096"
"GO","5209937","Inaciolândia","6107","0","0","6107","-49.987","-18.488"
"GO","5209952","Indiara","15056","0","0","15056","-49.987","-17.142"
"GO","5210000","Inhumas","51932","0","0","51932","-49.496","-16.358"
"GO","5210109","Ipameri","26563","0","0","26563","-48.16","-17.722"
"GO","5210158","Ipiranga de Goiás","2944","0","0","2944","-49.67","-15.17"
"GO","5210208","Iporá","32218","0","0","32218","-51.118","-16.442"
"GO","5210307","Israelândia","2916","0","0","2916","-50.908","-16.318"
"GO","5210406","Itaberaí","40259","0","0","40259","-49.81","-16.02"
"GO","5210562","Itaguari","4717","0","0","4717","-49.604","-15.919"
"GO","5210604","Itaguaru","5471","1","0","5472","-49.634","-15.758"
"GO","5210802","Itajá","4918","0","0","4918","-51.544","-19.067"
"GO","5210901","Itapaci","21323","0","0","21323","-49.549","-14.951"
"GO","5211008","Itapirapuã","6541","0","0","6541","-50.613","-15.823"
"GO","5211206","Itapuranga","26612","0","0","26612","-49.949","-15.562"
"GO","5211305","Itarumã","6927","0","0","6927","-51.348","-18.769"
"GO","5211404","Itauçu","8988","0","0","8988","-49.608","-16.201"
"GO","5211503","Itumbiara","101539","5","0","101544","-49.218","-18.42"
"GO","5211602","Ivolândia","2577","0","0","2577","-50.794","-16.602"
"GO","5211701","Jandaia","6263","0","0","6263","-50.146","-17.049"
"GO","5211800","Jaraguá","47513","0","0","47513","-49.334","-15.757"
"GO","5211909","Jataí","97073","4","0","97077","-51.714","-17.881"
"GO","5212006","Jaupaci","3014","0","0","3014","-50.953","-16.178"
"GO","5212055","Jesúpolis","2460","0","0","2460","-49.374","-15.951"
"GO","5212105","Joviânia","7445","0","0","7445","-49.614","-17.805"
"GO","5212204","Jussara","19292","0","0","19292","-50.868","-15.865"
"GO","5212253","Lagoa Santa","1463","0","0","1463","-51.391","-19.183"
"GO","5212303","Leopoldo de Bulhões","7758","0","0","7758","-48.744","-16.619"
"GO","5212501","Luziânia","196856","8","0","196864","-47.95","-16.253"
"GO","5212600","Mairipotaba","2432","0","0","2432","-49.491","-17.299"
"GO","5212709","Mambaí","8106","0","0","8106","-46.113","-14.488"
"GO","5212808","Mara Rosa","10320","0","0","10320","-49.178","-14.017"
"GO","5212907","Marzagão","2212","0","0","2212","-48.641","-17.981"
"GO","5212956","Matrinchã","4495","0","0","4495","-50.746","-15.444"
"GO","5213004","Maurilândia","13170","0","0","13170","-50.339","-17.971"
"GO","5213053","Mimoso de Goiás","2708","0","0","2708","-48.161","-15.056"
"GO","5213087","Minaçu","30862","0","0","30862","-48.22","-13.533"
"GO","5213103","Mineiros","61623","0","0","61623","-52.551","-17.569"
"GO","5213400","Moiporá","1684","0","0","1684","-50.739","-16.546"
"GO","5213509","Monte Alegre de Goiás","8392","0","0","8392","-46.901","-13.256"
"GO","5213707","Montes Claros de Goiás","8230","0","0","8230","-51.397","-16.008"
"GO","5213756","Montividiu","12336","1","0","12337","-51.175","-17.444"
"GO","5213772","Montividiu do Norte","4417","0","0","4417","-48.607","-13.113"
"GO","5213806","Morrinhos","45000","0","0","45000","-49.101","-17.732"
"GO","5213855","Morro Agudo de Goiás","2360","0","0","2360","-50.057","-15.321"
"GO","5213905","Mossâmedes","4758","0","0","4758","-50.215","-16.127"
"GO","5214002","Mozarlândia","14941","0","0","14941","-50.571","-14.745"
"GO","5214051","Mundo Novo","5786","0","0","5786","-50.281","-13.776"
"GO","5214101","Mutunópolis","3911","0","0","3911","-49.275","-13.733"
"GO","5214408","Nazário","8747","0","0","8747","-49.882","-16.582"
"GO","5214507","Nerópolis","27811","1","0","27812","-49.219","-16.406"
"GO","5214606","Niquelândia","45582","0","0","45582","-48.46","-14.474"
"GO","5214705","Nova América","2366","0","0","2366","-49.896","-15.022"
"GO","5214804","Nova Aurora","2194","0","0","2194","-48.255","-18.059"
"GO","5214838","Nova Crixás","12732","0","0","12732","-50.327","-14.099"
"GO","5214861","Nova Glória","8547","1","0","8548","-49.571","-15.143"
"GO","5214879","Nova Iguaçu de Goiás","2953","0","0","2953","-49.389","-14.289"
"GO","5214903","Nova Roma","3453","0","0","3453","-46.88","-13.742"
"GO","5215009","Nova Veneza","9248","1","0","9249","-49.323","-16.371"
"GO","5215207","Novo Brasil","3291","0","0","3291","-50.711","-16.034"
"GO","5215231","Novo Gama","108410","0","0","108410","-48.039","-16.059"
"GO","5215256","Novo Planalto","4343","0","0","4343","-49.504","-13.244"
"GO","5215306","Orizona","15364","0","0","15364","-48.296","-17.031"
"GO","5215405","Ouro Verde de Goiás","3993","0","0","3993","-49.193","-16.22"
"GO","5215504","Ouvidor","6242","0","0","6242","-47.839","-18.234"
"GO","5215603","Padre Bernardo","31646","0","0","31646","-48.284","-15.16"
"GO","5215652","Palestina de Goiás","3507","0","0","3507","-51.533","-16.733"
"GO","5215702","Palmeiras de Goiás","26855","0","0","26855","-49.926","-16.805"
"GO","5215801","Palmelo","2420","0","0","2420","-48.424","-17.324"
"GO","5215900","Palminópolis","3664","0","0","3664","-50.165","-16.796"
"GO","5216007","Panamá","2717","0","0","2717","-49.354","-18.177"
"GO","5216304","Paranaiguara","9840","1","0","9841","-50.654","-18.916"
"GO","5216403","Paraúna","11209","1","0","11210","-50.449","-16.948"
"GO","5216452","Perolândia","3121","0","0","3121","-52.064","-17.529"
"GO","5216809","Petrolina de Goiás","10548","0","0","10548","-49.338","-16.095"
"GO","5216908","Pilar de Goiás","2571","0","0","2571","-49.578","-14.764"
"GO","5217104","Piracanjuba","24830","0","0","24830","-49.018","-17.303"
"GO","5217203","Piranhas","11092","0","0","11092","-51.822","-16.427"
"GO","5217302","Pirenópolis","24604","0","0","24604","-48.959","-15.852"
"GO","5217401","Pires do Rio","30929","1","0","30930","-48.28","-17.301"
"GO","5217609","Planaltina","88178","0","0","88178","-47.614","-15.453"
"GO","5217708","Pontalina","17933","0","0","17933","-49.449","-17.526"
"GO","5218003","Porangatu","45055","0","0","45055","-49.149","-13.441"
"GO","5218052","Porteirão","3715","0","0","3715","-50.164","-17.815"
"GO","5218102","Portelândia","4030","0","0","4030","-52.679","-17.354"
"GO","5218300","Posse","35128","0","0","35128","-46.369","-14.093"
"GO","5218391","Professor Jamil","3368","1","0","3369","-49.244","-17.251"
"GO","5218508","Quirinópolis","47950","0","0","47950","-50.452","-18.448"
"GO","5218607","Rialma","11001","2","0","11003","-49.584","-15.315"
"GO","5218706","Rianápolis","4808","0","0","4808","-49.51","-15.447"
"GO","5218789","Rio Quente","4014","0","0","4014","-48.773","-17.774"
"GO","5218805","Rio Verde","212224","13","0","212237","-50.928","-17.798"
"GO","5218904","Rubiataba","19914","0","0","19914","-49.803","-15.164"
"GO","5219001","Sanclerlândia","7791","0","0","7791","-50.314","-16.198"
"GO","5219100","Santa Bárbara de Goiás","6327","0","0","6327","-49.694","-16.574"
"GO","5219209","Santa Cruz de Goiás","3071","0","0","3071","-48.482","-17.316"
"GO","5219258","Santa Fé de Goiás","5253","0","0","5253","-51.106","-15.769"
"GO","5219308","Santa Helena de Goiás","38563","0","0","38563","-50.597","-17.814"
"GO","5219357","Santa Isabel","3847","0","0","3847","-49.427","-15.298"
"GO","5219407","Santa Rita do Araguaia","8069","0","0","8069","-53.205","-17.326"
"GO","5219456","Santa Rita do Novo Destino","3345","0","0","3345","-49.12","-15.135"
"GO","5219506","Santa Rosa de Goiás","2673","0","0","2673","-49.494","-16.085"
"GO","5219605","Santa Tereza de Goiás","3761","0","0","3761","-49.015","-13.714"
"GO","5219704","Santa Terezinha de Goiás","9747","0","0","9747","-49.706","-14.438"
"GO","5219712","Santo Antônio da Barra","4747","0","0","4747","-50.634","-17.561"
"GO","5219738","Santo Antônio de Goiás","5659","0","0","5659","-49.311","-16.484"
"GO","5219753","Santo Antônio do Descoberto","70950","0","0","70950","-48.255","-15.94"
"GO","5219803","São Domingos","12448","0","0","12448","-46.318","-13.398"
"GO","5219902","São Francisco de Goiás","6354","0","0","6354","-49.261","-15.931"
"GO","5220009","São João d'Aliança","12360","0","0","12360","-47.525","-14.706"
"GO","5220058","São João da Paraúna","1571","0","0","1571","-50.41","-16.815"
"GO","5220108","São Luís de Montes Belos","32806","2","0","32808","-50.372","-16.525"
"GO","5220157","São Luiz do Norte","5026","0","0","5026","-49.329","-14.863"
"GO","5220207","São Miguel do Araguaia","22706","0","0","22706","-50.163","-13.275"
"GO","5220264","São Miguel do Passa Quatro","4013","0","0","4013","-48.663","-17.059"
"GO","5220280","São Patrício","2066","0","0","2066","-49.818","-15.35"
"GO","5220405","São Simão","19407","0","0","19407","-50.544","-18.991"
"GO","5220454","Senador Canedo","102946","1","0","102947","-49.093","-16.708"
"GO","5220504","Serranópolis","8236","0","0","8236","-51.962","-18.306"
"GO","5220603","Silvânia","20356","1","0","20357","-48.608","-16.659"
"GO","5220686","Simolândia","6863","0","0","6863","-46.483","-14.474"
"GO","5220702","Sítio d'Abadia","2984","0","0","2984","-46.253","-14.805"
"GO","5221007","Taquaral de Goiás","3625","0","0","3625","-49.606","-16.054"
"GO","5221080","Teresina de Goiás","3327","0","0","3327","-47.265","-13.776"
"GO","5221197","Terezópolis de Goiás","7513","0","0","7513","-49.08","-16.395"
"GO","5221304","Três Ranchos","2899","0","0","2899","-47.783","-18.354"
"GO","5221403","Trindade","119382","3","0","119385","-49.489","-16.649"
"GO","5221452","Trombas","3567","0","0","3567","-48.74","-13.509"
"GO","5221502","Turvânia","4837","0","0","4837","-50.134","-16.614"
"GO","5221551","Turvelândia","4978","0","0","4978","-50.302","-17.853"
"GO","5221577","Uirapuru","2967","0","0","2967","-49.922","-14.285"
"GO","5221601","Uruaçu","39787","0","0","39787","-49.141","-14.525"
"GO","5221700","Uruana","14193","0","0","14193","-49.688","-15.498"
"GO","5221809","Urutaí","3154","0","0","3154","-48.203","-17.464"
"GO","5221858","Valparaíso de Goiás","156413","6","0","156419","-47.979","-16.066"
"GO","5221908","Varjão","3842","0","0","3842","-49.631","-17.045"
"GO","5222005","Vianópolis","13566","1","0","13567","-48.516","-16.742"
"GO","5222054","Vicentinópolis","8286","0","0","8286","-49.806","-17.735"
"GO","5222203","Vila Boa","5615","0","0","5615","-47.059","-15.038"
"GO","5222302","Vila Propício","5635","0","0","5635","-48.889","-15.457"
"MA","2100055","Açailândia","110542","1","0","110543","-47.505","-4.947"
"MA","2100105","Afonso Cunha","6421","0","0","6421","-43.324","-4.133"
"MA","2100154","Água Doce do Maranhão","12360","0","0","12360","-42.112","-2.841"
"MA","2100204","Alcântara","21667","0","0","21667","-44.415","-2.409"
"MA","2100303","Aldeias Altas","26115","0","0","26115","-43.471","-4.628"
"MA","2100402","Altamira do Maranhão","10209","1","0","10210","-45.47","-4.165"
"MA","2100436","Alto Alegre do Maranhão","26619","0","0","26619","-44.446","-4.213"
"MA","2100477","Alto Alegre do Pindaré","31303","0","0","31303","-45.903","-3.69"
"MA","2100501","Alto Parnaíba","10979","0","0","10979","-45.93","-9.111"
"MA","2100550","Amapá do Maranhão","6844","0","0","6844","-46.002","-1.675"
"MA","2100600","Amarante do Maranhão","40756","0","0","40756","-46.742","-5.567"
"MA","2100709","Anajatuba","27125","0","0","27125","-44.62","-3.264"
"MA","2100808","Anapurus","15499","0","0","15499","-43.116","-3.672"
"MA","2100832","Apicum-Açu","18169","0","0","18169","-45.103","-1.461"
"MA","2100873","Araguanã","15182","0","0","15182","-45.665","-2.953"
"MA","2100907","Araioses","45680","0","0","45680","-41.903","-2.89"
"MA","2100956","Arame","32083","0","0","32083","-45.908","-4.733"
"MA","2101004","Arari","29297","0","0","29297","-44.78","-3.454"
"MA","2101103","Axixá","11915","0","0","11915","-44.053","-2.837"
"MA","2101202","Bacabal","103020","0","0","103020","-44.78","-4.225"
"MA","2101251","Bacabeira","16812","0","0","16812","-44.316","-2.971"
"MA","2101301","Bacuri","17388","0","0","17388","-45.134","-1.703"
"MA","2101350","Bacurituba","5544","0","0","5544","-44.738","-2.706"
"MA","2101400","Balsas","93511","0","0","93511","-46.036","-7.533"
"MA","2101509","Barão de Grajaú","18496","0","0","18496","-43.024","-6.756"
"MA","2101608","Barra do Corda","86662","0","0","86662","-45.243","-5.506"
"MA","2101707","Barreirinhas","61621","0","0","61621","-42.826","-2.747"
"MA","2101731","Belágua","7350","0","0","7350","-43.51","-3.155"
"MA","2101772","Bela Vista do Maranhão","11020","0","0","11020","-45.315","-3.731"
"MA","2101806","Benedito Leite","5524","0","0","5524","-44.558","-7.223"
"MA","2101905","Bequimão","20867","0","0","20867","-44.783","-2.449"
