# S,I,R,Nw
2609706,9,0,0
2609702,11,1,3
2609699,12,3,6
2609695,14,6,10
2609690,16,8,15
2609685,19,11,20
2609678,21,15,27
2609672,24,19,33
2609664,28,23,41
2609655,32,28,50
2609644,36,34,61
2609633,41,40,72
2609619,47,48,86
2609604,54,56,101
2609587,62,66,118
2609567,70,77,138
2609545,80,90,160
2609519,91,104,186
2609490,104,120,215
2609457,118,139,248
2609419,135,160,286
2609376,154,184,329
2609327,175,212,378
2609272,200,243,433
2609208,228,279,497
2609136,259,319,569
2609053,296,366,652
2608959,337,418,746
2608853,384,478,852
2608731,437,547,974
2608592,498,625,1113
2608434,567,713,1271
2608254,646,814,1451
2608049,736,929,1656
2607816,838,1060,1889
2607551,954,1210,2154
2607248,1087,1380,2457
2606904,1238,1573,2801
2606512,1409,1793,3193
2606065,1605,2044,3640
2605557,1828,2330,4148
2604978,2081,2655,4727
2604320,2369,3026,5385
2603570,2697,3447,6135
2602717,3070,3927,6988
2601747,3494,4474,7958
2600643,3976,5095,9062
2599387,4524,5803,10318
2597960,5147,6608,11745
2596336,5855,7523,13369
2594491,6659,8565,15214
2592394,7571,9749,17311
2590013,8606,11096,19692
2587309,9780,12626,22396
2584240,11110,14364,25465
