# S,I,R,Nw
6498829,7,0,0
6498826,8,1,2
6498824,10,2,5
6498820,11,4,8
6498817,13,6,12
6498812,15,9,16
6498807,17,11,21
6498801,20,14,27
6498795,23,18,34
6498787,26,22,41
6498779,30,27,50
6498769,34,32,60
6498757,40,39,71
6498744,46,46,84
6498729,53,54,100
6498711,61,64,117
6498691,70,75,137
6498668,80,87,160
6498642,92,102,187
6498611,106,118,217
6498577,122,137,252
6498536,140,159,292
6498490,161,184,338
6498437,185,213,391
6498376,213,246,452
6498306,245,284,522
6498226,281,328,602
6498134,323,379,695
6498027,372,437,801
6497905,427,503,923
6497765,491,580,1063
6497604,564,667,1224
6497419,648,768,1409
6497206,745,884,1622
6496962,856,1018,1866
6496681,983,1171,2147
6496359,1130,1347,2469
6495989,1298,1549,2840
6495563,1492,1781,3265
