# S,I,R,Nw
17264941,1,0,0
17264941,1,0,0
17264940,1,0,1
17264939,2,0,2
17264938,3,1,3
17264937,3,1,4
17264935,5,2,6
17264932,6,3,9
17264929,8,4,12
17264925,10,6,16
17264920,14,8,21
17264913,17,11,28
17264905,23,14,36
17264894,29,19,47
17264880,37,24,61
17264862,48,31,79
17264839,62,41,102
17264809,80,53,132
17264771,102,68,169
17264723,131,87,218
17264661,168,112,280
17264582,216,144,359
17264480,276,185,461
17264350,354,238,591
17264183,454,305,758
17263969,582,391,972
17263695,746,501,1246
17263344,955,642,1597
17262895,1224,823,2046
17262319,1568,1054,2622
