# S,I,R,Nw
8602860,4,0,0
8602859,4,0,1
8602857,5,1,2
8602855,6,2,4
8602853,7,3,6
8602851,8,5,9
8602848,9,6,11
8602845,10,8,14
8602842,12,10,18
8602838,14,12,22
8602833,16,15,26
8602828,18,17,31
8602822,20,21,37
8602816,23,24,44
8602808,27,29,52
8602799,31,34,60
8602789,35,39,70
8602778,40,45,82
8602765,46,53,94
8602751,52,61,109
8602734,59,70,126
8602715,68,81,145
8602693,77,93,167
8602668,88,107,192
8602640,101,123,220
8602607,115,141,252
8602571,131,162,289
8602529,150,185,331
8602481,171,212,379
8602426,195,242,433
8602364,222,277,495
8602293,253,317,566
8602213,289,362,647
8602120,329,414,739
8602015,376,472,844
8601896,428,539,964
8601759,488,616,1100
8601604,557,703,1256
8601426,635,802,1433
8601224,724,915,1636
8600994,825,1044,1866
8600731,941,1192,2129
8600431,1073,1359,2428
8600090,1223,1550,2770
8599701,1394,1768,3159
8599257,1589,2017,3602
8598752,1812,2300,4108
8598176,2065,2622,4684
8597519,2354,2990,5341
8596770,2684,3410,6089
8595917,3059,3888,6943
8594945,3486,4432,7915
8593837,3974,5053,9023
