# S,I,R,Nw
12038165,9,0,0
12038162,11,1,2
12038158,12,3,6
12038155,13,5,9
12038151,15,8,13
12038147,16,10,17
12038142,18,13,22
12038136,20,17,28
12038131,23,20,33
12038124,25,24,40
12038117,28,29,47
12038108,31,34,56
12038099,35,40,65
12038089,39,46,75
12038078,43,53,86
12038066,48,60,98
12038052,53,69,112
12038037,59,78,127
12038020,65,89,144
12038001,73,100,163
12037980,81,113,184
12037957,90,127,207
12037931,100,143,233
12037902,111,161,262
12037870,123,180,294
12037835,137,202,329
12037796,152,226,368
12037752,168,253,412
12037704,187,283,460
12037650,208,316,514
12037591,231,352,573
12037524,256,393,640
12037451,285,438,713
12037369,316,488,795
12037279,351,544,885
12037178,390,605,986
12037067,433,674,1097
12036943,481,750,1221
12036805,534,835,1359
12036652,592,929,1512
12036483,658,1033,1681
12036295,730,1149,1869
12036086,811,1277,2078
12035853,900,1420,2311
12035596,1000,1578,2568
12035310,1110,1754,2854
12034993,1232,1949,3171
12034640,1368,2165,3524
12034249,1519,2406,3915
12033815,1686,2672,4349
12033333,1872,2969,4831
12032798,2078,3298,5366
12032204,2307,3663,5960
12031545,2561,4068,6619
12030813,2843,4518,7351
12030000,3155,5018,8164
12029099,3503,5572,9065
12028098,3888,6188,10066
12026987,4316,6871,11177
12025754,4790,7629,12410
12024386,5317,8470,13778
12022868,5901,9404,15296
12021183,6549,10441,16981
12019313,7268,11592,18851
12017239,8066,12869,20925
12014937,8951,14285,23227
12012383,9932,15858,25781
12009551,11021,17602,28613
12006408,12227,19538,31756
12002923,13565,21686,35241
11999058,15048,24068,39106
11994771,16691,26711,43393
11990019,18512,29642,48145
11984751,20530,32893,53413
11978912,22764,36497,59252
