# S,I,R,Nw
2513441,9,0,0
2513438,10,1,2
2513435,11,3,5
2513432,12,5,8
2513429,13,7,11
2513426,14,10,14
2513422,15,12,18
2513418,16,15,22
2513414,18,18,26
2513409,19,21,31
2513405,21,24,35
2513399,22,28,41
2513393,24,32,47
2513387,26,36,53
2513381,28,41,59
2513373,30,46,67
2513366,33,51,74
2513357,35,57,83
2513348,38,63,92
2513339,41,70,101
2513328,44,77,112
2513317,48,85,123
2513305,52,93,135
2513292,56,102,148
2513278,60,112,162
2513263,65,122,177
2513246,70,133,194
2513229,75,146,211
2513210,81,159,230
2513189,87,173,251
2513167,94,188,273
2513144,102,204,296
2513118,109,222,322
2513090,118,241,350
2513061,127,262,379
2513029,137,284,411
2512994,148,307,446
2512957,159,333,483
2512917,172,361,523
2512874,185,391,566
2512827,200,423,613
2512777,215,457,663
2512723,232,495,717
2512664,250,535,776
2512601,270,578,839
2512534,291,625,906
2512461,313,676,979
2512382,338,730,1058
2512297,364,788,1143
2512206,392,851,1234
2512107,423,919,1333
2512001,456,993,1439
2511887,491,1072,1553
2511764,529,1157,1676
2511631,570,1248,1809
