# S,I,R,Nw
497881,1,0,0
497880,2,0,0
497879,2,0,1
497879,2,1,1
497878,3,1,2
497877,3,2,3
497876,3,2,4
497875,4,3,6
497873,5,4,7
497872,5,5,8
497870,6,6,10
497868,7,7,12
497866,8,8,15
497863,9,10,17
497860,10,11,20
497857,12,13,23
497853,13,15,27
497849,15,18,32
497844,17,21,37
497838,20,24,42
497832,22,27,48
497825,26,31,56
497816,29,36,64
497807,33,41,73
497797,38,47,84
497785,43,54,96
497771,49,62,109
497756,55,70,124
497738,63,80,142
497718,71,92,162
497696,81,104,184
497670,92,119,210
497641,105,135,239
