# S,I,R,Nw
7018346,7,0,0
7018344,8,1,1
7018342,8,2,3
7018340,9,4,5
7018338,9,5,8
7018335,10,7,10
7018333,11,9,13
7018330,12,11,15
7018327,13,13,18
7018324,14,15,22
7018320,15,18,25
7018317,16,20,29
7018313,17,23,33
7018309,18,26,37
7018304,19,29,41
7018299,21,33,46
7018294,22,36,51
7018289,24,40,57
7018283,26,44,63
7018276,27,49,69
7018269,29,54,76
7018262,32,59,83
7018254,34,64,91
7018246,36,70,100
7018237,39,77,109
7018227,42,84,118
7018217,45,91,129
7018206,48,99,140
7018194,52,107,152
7018181,55,116,164
7018168,59,126,178
7018153,64,136,192
7018137,68,147,208
7018121,73,159,225
7018103,78,172,243
7018083,84,185,262
7018063,90,200,283
7018041,96,215,305
7018017,103,232,328
7017992,111,250,354
7017965,119,269,381
7017936,127,290,410
7017904,136,312,441
7017871,146,335,475
7017835,157,361,510
7017797,168,388,549
7017756,180,417,590
7017712,193,448,634
7017665,206,481,681
7017614,221,517,731
7017560,237,555,785
7017502,254,596,843
7017440,272,640,906
7017373,292,687,972
7017302,313,738,1043
7017226,335,792,1120
7017144,359,850,1202
7017056,385,912,1289
7016962,412,978,1383
