state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
CE,9132078,237,11,30.69345993393885,0.440015722750156,0.16666666666666666,1.0950410191415351e-06,9131756.61160874,203.44029453912916,117.94809671813229,311.38839125726133
SC,7164788,149,15,7.908418354606748,0.4073964452329968,0.16666666666666666,3.749359167899561e-07,7164620.1036042925,100.30782903898898,67.58856667061252,165.2100593522159
BR,217026005,2990,31,185.7171766315957,0.4108879930983111,0.16666666666666666,4.1690987815959295e-09,217022466.73221183,2103.4111429739387,1434.8566452175442,3537.362985338463
DF,3015268,201,20,28.643277749429465,0.3933659160989602,0.16666666666666666,5.18169828557539e-07,3015014.5527031724,146.7207204343074,106.72657639301805,251.8848759247104
MG,21168791,153,19,22.940313762905326,0.4270917337014046,0.16666666666666666,3.8222328615002606e-08,21168594.077548586,120.39156178975463,76.53088962335617,196.11333092712655
RJ,17264943,421,22,10.996828790121233,0.414299517098824,0.16666666666666666,6.573866720790634e-08,17264480.525768593,276.88164921669517,185.59258219131888,461.3392570657737
RS,11377239,190,17,6.815657484139229,0.42607002852631004,0.16666666666666666,1.2905988761762242e-07,11377034.004592825,125.38058824970362,79.61481892309871,203.5270619860635
PR,11433957,106,15,8.217839751968324,0.34054075304932424,0.16666666666666666,3.8596787661795186e-07,11433843.227078244,60.250027843955934,53.5228939083113,109.35978164763624
BA,14873064,108,21,3.796103423464006,0.36630421259736407,0.16666666666666666,6.150108779844719e-08,14872948.444968892,63.39402366610306,52.161007441819145,114.64032149302628
SP,45919049,1053,31,78.66732084097647,0.3807819175786778,0.16666666666666666,1.844826992421837e-08,45917820.1789306,691.3347071197528,537.4863622911105,1227.9739424002478
SE,2298696,16,13,,,,,,,,
AM,4144597,67,14,,,,,,,,
TO,1572866,8,9,,,,,,,,
AL,3337357,11,19,,,,,,,,
RN,3506853,19,15,,,,,,,,
ES,4018650,48,21,,,,,,,,
PE,9557071,48,15,,,,,,,,
MS,2778986,25,13,,,,,,,,
AP,845731,2,7,,,,,,,,
MA,7075181,10,7,,,,,,,,
RR,605761,10,6,,,,,,,,
PI,3273227,9,8,,,,,,,,
PA,8602865,13,9,,,,,,,,
PB,4018127,6,9,,,,,,,,
MT,3484466,11,7,,,,,,,,
GO,7018354,39,15,,,,,,,,
RO,1777225,6,7,,,,,,,,
AC,881935,24,10,,,,,,,,
