# S,I,R,Nw
877657,4,0,0
877656,4,0,1
877655,5,1,2
877653,5,2,3
877652,6,3,5
877650,6,4,6
877649,7,5,8
877647,7,6,9
877645,8,8,11
877643,8,9,13
877641,9,11,16
877639,10,12,18
877636,10,14,21
877633,11,16,23
877630,12,18,26
877627,13,20,29
877624,14,23,33
877620,15,25,37
877616,17,28,41
877612,18,31,45
877607,19,34,49
877602,21,37,54
877597,23,41,60
877591,24,45,66
877585,26,49,72
877578,28,54,79
877571,31,59,86
877563,33,65,94
877555,36,70,102
877546,38,77,111
877536,41,83,121
877525,45,91,131
877514,48,98,143
877502,52,107,155
877489,56,116,168
877475,60,126,182
877459,65,136,197
877443,70,147,214
877425,76,160,231
877406,81,173,250
877386,88,187,271
877364,95,202,293
877340,102,219,317
877314,110,236,342
877287,118,256,370
877257,127,276,400
877225,137,298,432
877190,148,322,466
877153,159,348,503
877113,172,375,543
877070,185,405,586
877024,199,437,633
876974,215,472,683
876920,231,509,737
876862,249,549,795
876800,268,592,857
876732,289,639,924
876660,312,689,997
876582,336,743,1075
