# S,I,R,Nw
2094381,9,0,0
2094378,11,1,2
2094374,12,3,6
2094371,13,5,9
2094367,15,8,13
2094363,16,10,17
2094358,18,13,22
2094352,20,17,28
2094346,23,20,34
2094340,25,25,40
2094332,28,29,48
2094324,31,34,56
2094315,35,40,65
2094305,39,46,75
2094293,43,53,87
2094281,48,61,99
2094267,53,69,113
2094252,59,79,128
2094234,66,89,146
2094215,73,101,165
2094194,82,114,186
2094170,91,128,210
2094144,101,144,236
2094115,112,162,265
2094083,125,182,297
2094047,139,204,333
2094007,154,228,373
2093963,171,256,417
2093914,190,286,466
2093859,211,319,521
2093798,235,356,582
2093731,261,398,649
2093656,290,444,724
2093572,322,495,808
2093480,358,552,900
2093377,398,615,1003
2093263,442,685,1117
2093136,491,762,1244
2092995,545,849,1385
2092839,606,945,1541
2092665,673,1051,1715
2092472,748,1170,1908
2092258,831,1301,2122
2092020,923,1447,2360
2091755,1025,1609,2625
2091462,1138,1789,2918
2091136,1264,1990,3244
2090774,1404,2212,3606
2090372,1559,2459,4008
2089926,1731,2733,4454
2089431,1922,3037,4949
2088881,2134,3375,5499
2088271,2369,3750,6109
2087593,2630,4166,6787
2086842,2920,4628,7538
2086008,3240,5141,8372
2085083,3596,5710,9297
2084057,3990,6342,10323
