# S,I,R,Nw
83927,1,0,0
83926,2,0,0
83925,2,0,1
83924,3,1,3
83922,4,1,4
83920,5,2,6
83917,7,3,9
83914,9,5,12
83910,11,6,16
83904,14,9,22
83898,18,11,29
83889,23,15,37
83878,30,19,48
83865,38,25,62
83847,48,32,79
83825,61,41,101
83797,77,53,129
83762,98,68,164
83717,124,86,209
83661,157,110,266
83589,199,139,337
83499,252,177,428
83384,319,224,542
