state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
RS,11377239,1619,53,1989.5435942237439,0.2484338289174867,0.16666666666666666,8.789478712717556e-07,11374935.39920118,764.7371188048709,1538.8636800182273,2293.600798823098
RJ,17264943,10166,58,7043.680888621646,0.27643534271782666,0.16666666666666666,5.792083993558507e-07,17250243.59038434,5839.184814889157,8860.224800771275,14689.409615660432
PR,11433957,1447,51,2079.2713105135203,0.25317305541308704,0.16666666666666666,8.745878614026623e-07,11431555.51035985,826.9786254185608,1574.5110147366534,2391.4896401552146
RO,1777225,585,43,49.180985470567045,0.2912754163182815,0.16666666666666666,7.132540658447976e-07,1776594.7890857488,270.2679461387466,359.9429681133741,628.9433012949497
RN,3506853,1297,51,243.50892039154428,0.2401446601279805,0.16666666666666666,2.8515595036347336e-06,3505489.205922597,424.041218721254,939.7528586815463,1353.7940774028
SC,7164788,2104,51,1553.9114463768315,0.2572700012359536,0.16666666666666666,1.3957147092140058e-06,7161915.743880901,1017.6333937228289,1854.6227253791824,2862.256119102012
PI,3273227,665,44,28.06203391722723,0.2835680924748512,0.16666666666666666,4.811466513389811e-07,3272570.9816634683,271.33155166787543,384.6867848648985,654.4434343226518
AL,3337357,1226,55,99.77725788808935,0.3169817880724133,0.16666666666666666,4.04931198003635e-08,3336184.3738560737,556.0305944371528,616.5955494878438,1172.491003928179
DF,3015268,1567,56,1597.0759879277814,0.24071629203498654,0.16666666666666666,3.3164547894250193e-06,3013235.774089118,631.6061074404238,1400.6198034413903,2022.2259108818134
MG,21168791,1935,55,1427.9350993621094,0.2485901335589553,0.16666666666666666,4.723935344252772e-07,21166050.06957577,909.8651604686175,1831.0652637563614,2730.93042422498
BR,217026005,92667,67,111447.37927395321,0.2969914970369977,0.16666666666666666,4.607742744930498e-08,216877404.46819237,65185.415853161525,83415.11595457469,148590.53180773626
PA,8602865,3359,45,109.70236198219247,0.29773966903463583,0.16666666666666666,5.045642042115591e-07,8599257.989113804,1589.9090010296006,2017.1018851650815,3602.670188462017
AM,4144597,5723,50,1427.0241601973114,0.2795610641180569,0.16666666666666666,2.412779819123548e-06,4137611.7368310234,2823.287154834536,4161.976014141741,6975.263168976277
TO,1572866,191,45,76.28692876562008,0.24423370658427174,0.16666666666666666,8.500884481966848e-07,1572730.299623369,44.005972758885896,91.69440387178022,134.3633014135048
BA,14873064,3140,57,211.53162437958062,0.25159466339333225,0.16666666666666666,6.1215510106597e-07,14869652.42202764,1157.3796004794401,2254.1983718824386,3402.4733503657976
AP,845731,1121,43,266.2825578371984,0.2640418007463601,0.16666666666666666,8.562629190526925e-06,844453.1745139472,475.2059058377162,802.6195802147403,1270.5838051045228
MT,3484466,321,43,49.641121608335396,0.21859106236623432,0.16666666666666666,2.8698802054604568e-06,3484105.3101811805,93.2890273822336,267.4007914369497,350.68981881918336
AC,881935,487,46,39.606294468075966,0.23678322290079126,0.16666666666666666,5.707540668377572e-06,881519.3486479216,126.55725477986978,289.09409729850915,410.6176721990132
MS,2778986,261,49,7.728389475419417,0.20954966514428588,0.16666666666666666,2.921746072484635e-06,2778693.0113425585,66.4038289610629,226.5848284796097,284.8691660096829
ES,4018650,2913,57,346.64788164206664,0.2687212453260993,0.16666666666666666,9.051761943131285e-07,4015428.84413791,1224.7803936859912,1996.3754684057249,3217.5182757784387
PB,4018127,1034,45,19.152570646112327,0.2849713891019657,0.16666666666666666,5.181537191041935e-07,4017095.5976205324,429.3225932274515,602.0797862403252,1029.3203720188935
SE,2298696,517,49,161.1298540086906,0.2645599790438161,0.16666666666666666,5.021954370022528e-07,2298318.152125645,140.5200703449553,237.3278040096719,376.6934797123719
SP,45919049,30374,67,28050.31841137035,0.2784376356496201,0.16666666666666666,2.1777454493885327e-07,45874231.38674981,17983.648418717094,26833.964831480873,44807.61325019797
CE,9132078,8000,47,10041.271585473323,0.30251378244821997,0.16666666666666666,1.0950410191415355e-06,9118863.68245307,5934.268114465108,7280.049432463065,13204.31754692817
MA,7075181,3805,43,487.65857199477796,0.2888745486401338,0.16666666666666666,1.4133914029902555e-06,7070656.714749121,1918.9248926017551,2605.360358274349,4514.285250876104
RR,605761,668,42,41.647657610068826,0.2572072088309164,0.16666666666666666,8.440923740249948e-06,605120.1316676985,228.68788890493823,412.1804433964956,635.7551498956162
GO,7018354,808,51,39.040597334258415,0.235656636804124,0.16666666666666666,1.0723772032880042e-06,7017502.544207749,254.55533346174198,596.9004587880781,843.9294694156149
PE,9557071,7334,51,884.5949064482496,0.28379564434447263,0.16666666666666666,9.357145994213844e-07,9548546.189826963,3521.4007952673405,5003.409377771032,8515.867482175967
