ibgeID,city,state,population,I_reported,series_length,best_cost,beta,gamma,initial_I,S,I,R,Nw
3541000,Praia Grande,SP,304705,141,31,8.46123113171213,0.25532798446501936,0.16666666666666666,1.1850343021661392e-05,304549.4311157344,56.35154882919571,99.21733543642172,151.95802549520212
3301900,Itaboraí,RJ,230786,213,36,64.69338976599974,0.2733362549311656,0.16666666666666666,6.835654813551602e-06,230600.45517853482,73.32531923176195,112.21950223343437,183.96724803339603
1303569,Rio Preto da Eva,AM,31274,79,10,7.524324201121493,0.3961148810617072,0.16666666666666666,0.00018203808374612132,31180.957199319902,56.231959351833325,36.8108413282597,87.3497416490168
2610707,Paulista,PE,325590,445,29,32.20895558260405,0.2701240175837329,0.16666666666666666,3.0713474001038956e-05,325082.66073608,200.2365225089753,307.1027414110673,497.3392639200444
4202008,Balneário Camboriú,SC,131727,95,45,52.82377708900673,0.19978449295363876,0.16666666666666666,3.650565812589216e-05,131622.60560245306,21.282392373905804,83.11200517307223,99.58561671902868
3523107,Itaquaquecetuba,SP,356774,138,32,9.96987914838197,0.22186174848667206,0.16666666666666666,1.75504517014094e-05,356645.7516118654,36.59230847305417,91.65607966147228,121.9868432792078
3548708,São Bernardo do Campo,SP,822242,705,47,91.29449439677416,0.2403114132796717,0.16666666666666666,8.804384293592288e-06,821506.6874348171,230.13298587161492,505.17957931123016,728.0732306325134
3552809,Taboão da Serra,SP,275948,206,38,34.362837635653314,0.21353321723317548,0.16666666666666666,3.623871164132372e-05,275713.4774721271,59.200765545615454,175.3217623272773,224.5225278728928
3505708,Barueri,SP,264935,314,45,31.54740196425668,0.2579401281994529,0.16666666666666666,7.705486984705177e-06,264588.6309937247,123.73702477111411,222.6319815042427,344.32755308106385
4204608,Criciúma,SC,209153,121,43,59.19589365855631,0.1944684287999495,0.16666666666666666,2.849619845668458e-05,209051.03095016594,19.664531563841287,82.30451827023519,96.00898443826556
3534401,Osasco,SP,696382,828,45,58.8423880839398,0.26193070613623265,0.16666666666666666,6.20541693684922e-06,695526.4451056772,313.5795232870335,541.9753710356176,851.2335536653343
